"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071900","regulation of protein serine/threonine kinase activity","122/3451","427/23210",1.80068103749064e-13,1.01083685513679e-10,6.33081543707234e-11,"Gadd45a/Cdkn1a/Thbs1/Ccnl1/Trib1/Sesn2/Tnfaip3/Dusp8/Pim1/Dusp16/Gtpbp4/Nr2f2/Ern1/Gadd45g/Ccnyl1/Chordc1/Ddx3x/Gadd45b/Hexim1/Ccnd1/Spry4/Tnxb/Parp16/Fzd5/Dusp5/Wnt5a/Egfr/Hsp90ab1/Map2k3/Hmgcr/Spry2/Ptpn1/Ripk1/Map2k4/Adam17/P2rx7/Nox4/Ceacam1/Ccnjl/C1qtnf2/Trib2/Tab1/Trib3/Map2k6/Traf2/Kit/Tnf/Heg1/Tgfbr1/Tcim/Itga1/Gdf15/Lpar3/Tlr4/Pik3r5/Cab39/Ptpn22/Sirt1/Cdk12/Cemip/Bmp2/Ghr/Dusp1/Robo1/Spag9/Dvl3/Pkd1/Fgd2/Ccnb2/Samd5/Edn1/Tesk1/Lrrk2/Pde5a/Tiam1/Map3k6/Tlr6/Spred1/Cdkn2b/Acsl1/Slc27a1/Ptpn11/Axin1/Plce1/Ppp2ca/Map4k1/Tfap4/Il1b/Fzd4/Adipoq/Map4k2/Sfn/Rgs2/Pdgfd/Ret/Prkar2b/Ighm/Hyal2/Atp2b4/Cdkn2c/Dusp19/Igf1/Higd1a/Rgcc/Fgf18/Avpi1/Thy1/Rasgrp1/Dtnbp1/Lax1/Synpo2/Ntf3/Ccng2/Cdk5rap1/Fgf2/Sfrp2/Cdk5rap3/Adra2a/Eif2ak2/Arrb1/Tgfb1/Uchl1",122
"GO:0050678","regulation of epithelial cell proliferation","107/3451","358/23210",2.41412010060851e-13,1.24226596843813e-10,7.78024320143479e-11,"Myc/Thbs1/F3/Tnfaip3/Hmox1/Gja1/Stat3/Nr4a3/Nr2f2/Jun/Zfp36/Errfi1/Ptch1/Tgm1/Tacstd2/Ccnd1/B4galt1/Hey1/Snai2/Il6/Fgf7/Wnt5a/Egfr/Fgfbp1/Nr4a1/Adam17/Srsf6/Bnc1/Xbp1/Ift172/Id1/Apln/Zfas1/Jaml/Ceacam1/Ccl2/Aplnr/Wnt2/Egfl7/Bcl11b/Nfib/Cxcl12/Tnf/Nupr1/Tgfbr1/Rtn4/Lims2/Adora2b/Hoxa5/Bmp6/Fzd7/Tek/Zfp36l1/Wnt3a/Mtss1/Strap/Prkdc/Fgfr2/Sirt1/Dll4/Pygo2/Bmp2/Vegfd/Robo1/Rreb1/Hes1/Ift52/Nr1d1/Kdr/Prkd2/Cdkn2b/Ar/Gli1/Mef2c/Sox11/Stxbp4/Bmp5/Klf9/Smad3/Acvrl1/Gas1/Sfn/Sulf1/Slurp1/C5ar1/Wnt10b/Ccl12/Esr2/Ednra/Igf1/Itga4/Pex2/Gpc3/Stat1/Rgcc/Sgpp2/Ednrb/Smo/Hyal1/Plcg1/Atoh8/Ptprm/Cdh13/Osr1/Fgf2/Sfrp2/Tgfb1",107
"GO:0050673","epithelial cell proliferation","121/3451","425/23210",2.96243222490002e-13,1.40715530682751e-10,8.81293602775926e-11,"Areg/Epha2/Myc/Thbs1/F3/Tnfaip3/Hmox1/Gja1/Stat3/Nr4a3/Nr2f2/Jun/Cebpb/Ern1/Zfp36/Errfi1/Ptch1/Tgm1/Tacstd2/Ccnd1/B4galt1/Hey1/Snai2/Il6/Fgf7/Wnt5a/Egfr/Fgfbp1/Nr4a1/Adam17/Srsf6/Bnc1/Xbp1/Ift172/Id1/Apln/Zfas1/Jaml/Ceacam1/Ccl2/Btbd10/Aplnr/Wnt2/Prkx/Egfl7/Bcl11b/Cd34/Nfib/Kit/Cxcl12/Tnf/Nupr1/Tgfbr1/Rtn4/Lims2/Adora2b/Hoxa5/Bmp6/Fzd7/Tek/Zfp36l1/Wnt3a/Mtss1/Strap/Prkdc/Fgfr2/Sirt1/Dll4/Pygo2/Bmp2/Vegfd/Robo1/BC004004/Rreb1/Hes1/Ift52/Nr1d1/Kdr/Prkd2/Cdkn2b/Ar/Gli1/Mef2c/Igfbp5/Sox11/Stxbp4/Bmp5/Klf9/Smad3/Acvrl1/Gas1/Col8a1/Sfn/Sulf1/Slurp1/C5ar1/Fst/Wnt10b/Ccl12/Igfbp4/Esr2/Ednra/Igf1/Itga4/Pex2/Gpc3/Stat1/Rgcc/Lgr4/Sgpp2/Ednrb/Smo/Hyal1/Plcg1/Atoh8/Ptprm/Cdh13/Osr1/Fgf2/Sfrp2/Tgfb1",121
"GO:0042110","T cell activation","134/3451","491/23210",5.04425969825385e-13,2.22487883119411e-10,1.39342933318681e-10,"Clec4d/Ptger4/Clec4e/Bcl3/Icam1/Gja1/Ptpn2/Hsp90aa1/Stat3/Nfkbiz/Cebpb/Bcl10/Gadd45g/Srf/Cd80/Egr1/Hspd1/Anxa1/Ctps/Hsph1/Icos/Lepr/Jmjd6/Il6/Fzd5/Myb/Fgl2/Shb/Zc3h12a/Sdc4/Adam17/Cblb/P2rx7/Relb/Xbp1/Abl2/Pawr/Myh9/Jaml/Ceacam1/Ccl2/H2-Oa/F2rl1/Zeb1/Gpnmb/Itgav/Lag3/Tnfsf9/Bcl11b/Patz1/Dusp22/Kit/Cd46/Cxcl12/Lgals3/Mill2/Gnrh1/Il18r1/Arg2/Psmb10/Fzd7/Zfp36l1/H2-DMa/Hfe/Adrm1/Lgals1/Azi2/Card11/Ptpn22/Lfng/Rorc/Prkdc/Tmem98/Nlrp3/Irf1/Dll4/Itgam/Tarm1/Tnfsf13b/Cd44/Hes1/Batf/Pde5a/Cd48/Il4ra/Dpp4/Hlx/Tnfrsf14/H2-Ab1/Itk/Smad3/Cd8a/Socs5/Il1b/Slfn1/Stx11/Il1rl2/Slamf6/Itpkb/Cbfb/Fas/Socs1/Cd276/Ada/Cd3g/Mafb/Havcr2/Cd2/Spn/Lrrc32/H2-Aa/Tespa1/Igf1/Cgas/H2-M3/Rhoh/Trp53/Zfp36l2/Thy1/Cd5/Tigit/Rasgrp1/March7/Lax1/Ifna4/Vsir/Fyn/Bcl11a/Smad7/Vnn1/Cyp26b1/Il7r/Il2rg/Tgfb1",134
"GO:0043542","endothelial cell migration","70/3451","198/23210",6.07266244245736e-13,2.49991270547828e-10,1.56568153077813e-10,"Ptgs2/Epha2/Thbs1/Meox2/Clec14a/Hmox1/Mmrn2/Nr2f2/Srf/Nfe2l2/Pik3r3/Anxa1/Snai2/Wnt5a/Map2k3/Rock2/Fgfbp1/Zc3h12a/Nr4a1/Adam17/Angpt2/Myh9/Ceacam1/Plxnd1/Adamts9/Itgav/Prkx/Hspb1/Patz1/Tgfbr1/Adora2b/Pik3c2a/Tek/Slit2/P2rx4/Dnaja4/Angpt1/Srpx2/Ccbe1/Nrp1/Sirt1/Dll4/Robo1/Bcar1/Hif1a/Bcas3/Rhoj/Ptp4a3/Kdr/Prkd2/Spred1/Dpp4/Mef2c/Acvrl1/Adgra2/Pik3r2/Rhob/Plk2/Igf1/Stc1/Mir218-1/Rgcc/Fgf18/Plcg1/Atoh8/Hdac7/Ptprm/Cdh13/Fgf2/Tgfb1",70
"GO:1904018","positive regulation of vasculature development","71/3451","204/23210",9.96058913840387e-13,3.84416487060274e-10,2.40757924305894e-10,"Adm/Ptgs2/Thbs1/Serpine1/Tmem100/F3/Hmox1/Stat3/Mir27a/Nfe2l2/Egr1/Anxa1/Cth/Wnt5a/Sphk1/Fgfbp1/Zc3h12a/Angpt2/Xbp1/Ceacam1/Aplnr/Hspb1/Cd34/Kit/Ramp2/Cxcr2/Lgals3/Rtn4/C6/Tie1/Ptgis/Pik3c2a/Tek/Mir23a/Srpx2/Epha1/Notch4/Ccbe1/Nrp1/Sirt1/Il1a/Vegfd/Hif1a/Jmjd8/Itga5/Rhoj/Kdr/Prkd2/Cysltr1/Cx3cl1/Sod2/Mir24-2/Acvrl1/Il1b/Mmp9/Hk2/Rhob/Pdgfd/Adm2/Plk2/C5ar1/Cx3cr1/Fgf18/Prkcb/Hc/Hyal1/Plcg1/Hdac7/Erap1/Fgf2/Sfrp2",71
"GO:0050707","regulation of cytokine secretion","73/3451","213/23210",1.14264127017228e-12,4.15047637841992e-10,2.59942044991515e-10,"Casp4/Tnfaip3/Ptger4/Ffar4/Clec4e/Ccl3/Clec4n/Tlr2/Arid5a/Il1r2/Mmp8/Hspd1/Anxa1/Clec5a/Il6/Fzd5/Wnt5a/Zc3h12a/P2rx7/Xbp1/Abl2/F2rl1/Cd34/Tnf/Arg2/Tek/Ezr/Mapk3/Tlr4/Angpt1/Postn/Ptpn22/Trim16/Tlr5/Il17ra/Nlrp3/Il1a/Bank1/Unc93b1/Clec9a/Lrrk2/Il33/Lrrfip2/Tlr6/Il4ra/Tnfrsf14/Cx3cl1/Nlrp12/Gapdh/Il1b/Ifih1/Socs1/Cd276/Havcr2/Hyal2/Cd2/Cd84/Lrrc32/Cd14/Ddx58/Il27ra/Gas6/Fbln1/Lilra5/Tlr1/Cd200r1/Rgcc/Osm/Lgr4/Rasgrp1/Hc/Pml/Serpinb1b",73
"GO:0050663","cytokine secretion","80/3451","244/23210",1.37410355907088e-12,4.71393859847927e-10,2.95231372867042e-10,"Casp4/Tnfaip3/Ptger4/Ffar4/Clec4e/Ccl3/Clec4n/Tlr2/Arid5a/Il1r2/Mmp8/Hspd1/Anxa1/Clec5a/Il6/Fzd5/Wnt5a/Itgb6/Zc3h12a/P2rx7/Rnf19b/Optn/Xbp1/Abl2/F2rl1/Itgav/Cd34/Tnf/Arg2/Tek/Ezr/Mapk3/Tlr4/Angpt1/Card11/Postn/Ptpn22/Trim16/Rorc/Tlr5/Il17ra/Nlrp3/Il1a/Bank1/Unc93b1/Clec9a/Lrrk2/Il33/Lrrfip2/Tlr6/Il4ra/Tnfrsf14/Cx3cl1/Nlrp12/Gapdh/Il1b/Ifih1/Socs1/Cd276/Havcr2/Hyal2/Cd2/Cd84/Lrrc32/Cd14/Ddx58/Il27ra/Gas6/Fbln1/Lilra5/Tlr1/Cd200r1/Rgcc/Lcp2/Osm/Lgr4/Rasgrp1/Hc/Pml/Serpinb1b",80
"GO:0033674","positive regulation of kinase activity","129/3451","476/23210",2.34874417448946e-12,7.63341856709073e-10,4.78076792081676e-10,"Gadd45a/Cdkn1a/Thbs1/Pim1/Hsp90aa1/Ern1/Gadd45g/Ccnyl1/Ddx3x/Gadd45b/Ccnd1/Egr1/Parp16/Hsph1/Fzd5/Map3k14/Wnt5a/Egfr/Hsp90ab1/Map2k3/Ccn1/Ptpn1/Ripk1/Map2k4/Sdc4/Nrg1/Adam17/Map3k8/P2rx7/Lmo4/Adcy8/Nox4/Ceacam1/C1qtnf2/Tab1/Map2k6/Traf2/Kit/Adra1a/Tnf/Tgfbr1/Cdk5r1/Tcim/Itga1/Tek/Gdf15/Tom1l1/Wnt3a/Lpar3/Cacul1/Tlr4/Map3k19/Angpt1/Pik3r5/Cab39/Pik3r4/Dok7/Sirt1/Cemip/Vldlr/Bmp2/Ghr/Robo1/Spag9/Dvl3/Erbb3/Pkd1/Ranbp2/Fgd2/Cd44/Samd5/Edn1/Lrrk2/Pde5a/Tiam1/Map3k6/Tlr6/Acsl1/Clu/Slc27a1/Ptpn11/Axin1/Mmd/Plce1/Ppp2ca/Map4k1/Ddr2/Il1b/Cass4/Fzd4/Strada/Cd19/Vav3/Traf4/Adipoq/Map4k2/Pfkfb1/Socs1/Pdgfd/Dgkz/Ret/Pfkfb2/Stk4/Ighm/Atp2b4/Pak6/Tnfaip8l3/Axin2/Dusp19/Igf1/Gas6/Higd1a/Lilra5/Tlr1/Nab2/Lrp8/Rgcc/Fgf18/Avpi1/Zfp622/Rasgrp1/Nbn/Ntf3/Fgf2/Map4k4/Adra2a/Eif2ak2/Arrb1/Tgfb1",129
"GO:0042326","negative regulation of phosphorylation","124/3451","452/23210",2.5413249536554e-12,7.84634079441104e-10,4.91411993669997e-10,"Atf3/Gadd45a/Cdkn1a/Trib1/Tnfaip3/Socs3/Dusp8/Dusp16/Ppp1r15a/Ptpn2/Stat3/Birc3/Nr2f2/Jun/Lif/Gadd45g/Chordc1/Errfi1/Irs2/Gadd45b/Hexim1/Tnip1/Spry4/Hsph1/Il6/Dusp5/Shb/Hmgcr/Spry2/Ptpn1/Zc3h12a/Ier3/Midn/Dynll1/Hspa4/Cblb/P2rx7/Smad6/Xbp1/Pwp1/Ceacam1/Taf7/F2rl1/Samsn1/Ppp1r15b/Trib3/Pik3ip1/Ranbp9/Hspb1/Eif3a/Dusp22/Nupr1/Heg1/Hdac4/Pid1/Ezr/Smyd3/Slit2/Tlr4/Angpt1/Rnf149/Epha1/Ptpn22/Epm2a/Smcr8/Strap/Prkdc/Ndrg2/Irf1/Sirt1/Dusp1/Ctdspl/Atxn7/Tesk1/Lrrk2/Bdkrb1/Gbp4/Spred1/Cep85/Cdkn2b/Nlrp12/Socs5/Ppp2ca/Foxa2/Tfap4/Il1b/Slfn1/Ppm1f/Gfra2/Adipoq/Dvl1/Ubash3b/Gpd1l/Pik3r2/Rgs2/Socs1/Prkar2b/Park7/Hyal2/Ggnbp2/Cdkn2c/Cox11/Dusp19/Igf1/Dnajc10/Fbln1/Pip5kl1/Prkrip1/Thy1/Mir26a-1/Dtnbp1/Lax1/Smad7/Ntf3/Prdx3/Cdk5rap1/Bag1/Sfrp2/Cdk5rap3/Ddit4/Mapt/Arrb1/Tgfb1/Uchl1",124
