"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","112/2445","491/23210",1.55852702431229e-15,8.52655966573758e-13,5.24231817268678e-13,"Hlx/Gnrh1/Zbtb16/Ptger4/Anxa1/Relb/Bcl3/Ptpn2/Gadd45g/Fzd7/Bmp4/Stat3/Ctps/F2rl1/Clec4d/Arg2/Cd209a/Gja1/Rsad2/Kit/Icam1/Smad7/Bcl10/Cxcl12/Dll4/Efnb2/Abl2/Zeb1/Clec4e/Prkcq/Gata3/Il15/P2rx7/Tigit/Sdc4/Srf/Hsp90aa1/Lfng/Lgals3/Jmjd6/Psmb10/Cd48/Il20rb/Sox4/Tnfsf9/Zc3h12a/Slc4a1/Cd80/Gimap1/Ptpn22/Cebpb/Nlrp3/Ceacam1/Il6/Pde5a/Malt1/Tmem98/Slamf6/Batf/Adam8/Lgals9/Fcer1g/Hfe/Cd44/Spn/Lepr/Itgav/Fas/Fgl2/Cd8a/Myh9/Card11/Il7r/Il2rg/Cblb/Adrm1/Ada/Btla/Patz1/Txk/Gm13271/Cd2/Mpzl2/Adora2a/Thy1/Zc3h12d/March7/Ccl5/Shb/Ephb6/Prkdc/Nfkbiz/Itpkb/Satb1/Lag3/Mill2/Cd274/Gm13275/Myb/Hspd1/Zfp36l2/Ptprc/Pawr/Ccr2/Il4ra/H2-Oa/Cgas/Bcl11a/Dpp4/Socs5/Irf1/Lrrc32",112
"GO:0045089","positive regulation of innate immune response","67/2445","232/23210",6.68092725166212e-15,3.18636860351583e-12,1.95905015503632e-12,"Tnip3/Pvr/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Tlr2/Tnip1/Polr3d/Tril/Tlr4/Rsad2/Bcl10/Irgm2/Lrrfip2/Tnip2/Treml4/Clec4e/Myd88/Rela/Tnf/Ifi208/Cd300lf/Trim15/Nploc4/Gbp5/Ifi205/Appl2/Ltf/Ptpn22/Klrk1/Parp9/Slamf6/Wnt5a/Tlr5/Sh2d1b1/Adam8/Tlr6/Lgals9/Arf6/Wdfy1/Irf7/Cd14/Alpk1/Nr1d1/Txk/Ankrd17/Hexim1/Reg3g/Prkdc/Nectin2/Tbk1/Lag3/Mill2/Unc93b1/Hspd1/Ddx60/Ifih1/Cgas/Tlr13/Rps6ka3/Tspan6/Klre1/Irf1/Il18rap/Tmem173/Bpifb1",67
"GO:0002218","activation of innate immune response","54/2445","164/23210",6.88314919337086e-15,3.18636860351583e-12,1.95905015503632e-12,"Tnip3/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Tlr2/Tnip1/Tril/Tlr4/Rsad2/Bcl10/Irgm2/Lrrfip2/Tnip2/Treml4/Clec4e/Myd88/Rela/Tnf/Ifi208/Cd300lf/Trim15/Nploc4/Ifi205/Appl2/Ltf/Ptpn22/Klrk1/Tlr5/Tlr6/Lgals9/Arf6/Wdfy1/Irf7/Cd14/Alpk1/Nr1d1/Ankrd17/Hexim1/Reg3g/Prkdc/Tbk1/Unc93b1/Hspd1/Ddx60/Ifih1/Cgas/Tlr13/Rps6ka3/Tspan6/Klre1/Irf1/Tmem173/Bpifb1",54
"GO:0019221","cytokine-mediated signaling pathway","85/2445","341/23210",2.21818124927289e-14,9.53501054151733e-12,5.86233615879264e-12,"F3/Casp4/Krt8/Ptpn2/Krt18/Osmr/Stat3/Nfkbia/Il1r2/F2rl1/Ccl17/Il1f9/Grem2/Sphk1/Kit/Il11ra1/Slit2/Cxcl12/Irgm2/Lifr/Rffl/Tnip2/Ccr1/Nol3/Ripk1/Il15/Angpt1/Myd88/Rela/Cxcl5/H2bc21/Ackr3/Tnf/Cd300lf/Stat1/Appl2/Nmi/Il20rb/Spata2/Iigp1/Mapk3/Klf6/Cx3cl1/Actn4/Ceacam1/Il6/Parp9/Slit3/Apoa1/Wnt5a/Fcer1g/Ccl12/Traf2/Lepr/Cxcl17/Cxcl10/Irf7/Il2rg/Rps6ka5/Plvap/Txk/Gm13271/Ythdf2/Il10ra/Ccl25/Ccl5/Cx3cr1/Cxcl1/Oas2/Ccl9/Tbk1/Ccl3/Gm13275/Thpo/Sirt1/Tff2/Ptprc/Ccr2/Cxcr2/Rbm15/Socs5/Irf1/Cnot7/Il18rap/Zc3h15",85
"GO:0002758","innate immune response-activating signal transduction","48/2445","139/23210",2.75762491085004e-14,1.10635911423304e-11,6.80214144676343e-12,"Tnip3/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Tlr2/Tnip1/Tril/Tlr4/Rsad2/Bcl10/Irgm2/Lrrfip2/Tnip2/Treml4/Clec4e/Myd88/Rela/Tnf/Cd300lf/Trim15/Nploc4/Appl2/Ltf/Ptpn22/Klrk1/Tlr5/Tlr6/Lgals9/Arf6/Wdfy1/Irf7/Cd14/Alpk1/Nr1d1/Ankrd17/Reg3g/Unc93b1/Hspd1/Ddx60/Ifih1/Tlr13/Rps6ka3/Tspan6/Klre1/Irf1/Tmem173/Bpifb1",48
"GO:0007162","negative regulation of cell adhesion","75/2445","284/23210",3.07673380617838e-14,1.15723650284884e-11,7.11494692678751e-12,"Hlx/Snai2/Thbs1/Gnrh1/Anxa1/Ptpn2/Fzd7/Serpine1/Tnfaip3/Acvrl1/Bmp4/Angpt2/Tacstd2/Gtpbp4/Arg2/Fam107a/Plxnd1/Smad7/Cxcl12/Abl2/Plxna2/Ccm2l/Angpt1/Tigit/Sdc4/Jag1/Bmp6/Lgals3/Tnc/Plxnc1/Il20rb/Zc3h12a/Cd80/Sema6a/Ptpn22/Ptpn11/Cebpb/Actn4/Ceacam1/Postn/Pde5a/Cldn7/Apoa1/Bcas3/Adam8/Lgals9/Hfe/Cd44/Pde3b/Spn/Fgl2/Cblb/Btla/Nat8f3/Fzd4/Ppm1f/Adora2a/Zc3h12d/Klf4/Rgcc/Ccl25/March7/Lpxn/Myo1f/Lag3/Cd274/Gcnt2/Ptprc/Pawr/Il4ra/Cdh13/Muc4/Socs5/Irf1/Lrrc32",75
"GO:0060562","epithelial tube morphogenesis","91/2445","380/23210",3.53312081953457e-14,1.25072477011524e-11,7.68973354839877e-12,"Areg/Tbx3/Tcf21/Epha2/Ptch1/Hoxa5/Tbx2/Myc/Wnt2/Hey1/Adm/Mtss1/Acvrl1/Edn1/Bmp4/Tacstd2/Stk4/Gli2/Rock2/Sox11/Foxf1/Tek/Fgfr2/Gja1/Plxnd1/Nrp1/Prkx/Slit2/Bcl10/Cxcl12/Cc2d2a/Dll4/Pml/Efnb2/Abl2/Cecr2/B4galt1/Hhip/Gata3/Angpt1/Wnt3a/Irx3/Sdc4/Ednra/Srf/Tnf/Prickle1/St14/Ar/Epha4/Gdnf/Ptk7/Etv5/Fuz/Tnc/Kdr/Lrp2/Luzp1/Rgma/Sox4/Osr1/Ahr/Sox17/Sfrp2/Lmo4/Spry2/Wnt5a/Bmp5/Cd44/Lama5/Cxcl10/Gpc3/Fgf2/Tgif1/Gatad2a/Ctsh/Wnk4/Hif1a/Foxa2/Rdh10/Spry1/Smo/Fat4/Ift172/Mef2c/Nr3c1/Cxcr2/Adamts12/Arl13b/Rbm15/Dvl3",91
"GO:1904018","positive regulation of vasculature development","60/2445","204/23210",7.01017082244869e-14,2.34373377830535e-11,1.44097955794779e-11,"Tmem100/F3/Ptgs2/Thbs1/Hk2/Hmox1/Anxa1/Adm/Fgfbp1/Serpine1/Acvrl1/Stat3/Angpt2/Ramp2/Srpx2/Hyal1/Tek/Sphk1/Nrp1/Kit/Aplnr/Efnb2/Mir27a/Nfe2l2/Tie1/Cth/Lgals3/Kdr/Fgf18/Mir23a/Zc3h12a/Vegfd/Cx3cl1/Sfrp2/Ceacam1/Wnt5a/Itga5/Hdac7/Fgf2/Pik3c2a/Lrg1/Ctsh/Jmjd8/Pdgfd/Klf4/Ccbe1/Hif1a/Ccl5/Cx3cr1/Ets1/Ddah1/Hgf/Cysltr1/Mir24-2/Sod2/Sirt1/Cd34/Cybb/Cxcr2/Epha1",60
"GO:0050673","epithelial cell proliferation","97/2445","425/23210",1.20324621171653e-13,3.81112405374214e-11,2.34316367544798e-11,"Areg/F3/Snai2/Thbs1/Epha2/Ptch1/Id1/Hoxa5/Hmox1/Myc/Wnt2/Errfi1/Hey1/Apln/Nr2f2/Mtss1/Fgfbp1/Fzd7/Egfl7/Tnfaip3/Acvrl1/Bmp4/Stat3/Tacstd2/Nr4a3/Ednrb/Sox11/Hyal1/Tek/Atoh8/Fgfr2/Gja1/Tgm1/Rreb1/Kit/Prkx/Klf9/Aplnr/Cxcl12/Esr2/Dll4/Efnb2/Adora2b/B4galt1/Gata3/Nupr1/Wnt3a/Zfas1/Ednra/Ern1/Tnf/Fgfr3/Ar/Bmp6/Fgf7/Wnt10b/Nfib/Stat1/Kdr/Vegfd/Osr1/Fmc1/Cebpb/Sfrp2/Ceacam1/Il6/Egfr/Apoa1/Wnt5a/Ccl12/Bmp5/Gas1/Strap/Col8a1/Gpc3/Fgf2/Nr1d1/Lrg1/Stxbp4/Zfp36/Rgcc/Ccl5/Reg3g/BC004004/Prkdc/Hgf/Nr4a1/Smo/Sgpp2/Ift172/Sirt1/Cd34/Pygo2/Mef2c/Cdh13/Btbd10/Tgfbr1",97
"GO:0002683","negative regulation of immune system process","104/2445","473/23210",1.97040608400111e-13,5.92895190675934e-11,3.64525125540206e-11,"Clec2d/Hlx/Thbs1/Gnrh1/Zbtb16/Hoxa5/Hmox1/Myc/Ptger4/Anxa1/Clec12b/Ptpn2/Trib1/Tnfaip3/Lrrc17/Bmp4/Tmem178/Meis1/Nfkbia/F2rl1/Sox11/Foxf1/Arg2/Hspa9/Smad7/Slit2/Bcl10/Cxcl12/Nfe2l2/Ccr1/Ezr/Angpt1/Tigit/Sdc4/Tnf/Cd300lf/Nploc4/Lgals3/Klrb1b/Nmi/Il20rb/Zc3h12a/Tcta/Cd80/Ptpn22/Cebpb/Cx3cl1/Ceacam1/Pde5a/Apoa1/Sh2d1b1/Tlr6/Lgals9/Fcer1g/Ccl12/Hfe/Cd44/Spn/Il33/Fas/Fgl2/Il7r/Ldlr/Cblb/Ada/Btla/Nr1d1/Cd37/Zfp36/Ythdf2/Gcsam/Adora2a/Thy1/Zc3h12d/Ccl25/March7/Lpxn/Prkdc/Itpkb/Lag3/Mill2/Crk/Cd274/Rnf26/Tff2/Ptprc/Pawr/Ccr2/Il4ra/Elf1/H2-Oa/Cd22/Cxcr2/Bank1/Muc4/Tspan6/Klre1/Rbm15/Socs5/Irf1/Cnot7/Lrrc32/Tap1/Bpifb1",104
"GO:0032103","positive regulation of response to external stimulus","78/2445","312/23210",2.20752870974848e-13,6.32614655965064e-11,3.88945534574732e-11,"Ptgs2/Snai2/Thbs1/Ptger4/Serpine1/Edn1/Nfkbia/F2rl1/Optn/Tlr2/Tnip1/Tlr4/Nrp1/Lrrk2/Slit2/Cxcl12/Adora2b/Ccr1/Nupr1/Myd88/Hyal2/Pdgfrb/C2cd4b/Ednra/Mmp8/Tnf/F7/Trim15/Bmp6/Cmklr1/Gbp5/Kdr/Lilra5/S100a8/Fgf18/Akirin1/Vegfd/Mapk3/Ndel1/Cebpb/Cx3cl1/Il6/Pde5a/Egfr/Snca/Artn/Wnt5a/Adam8/Tlr6/Lgals9/Fcer1g/Il33/Cxcl17/Cxcl10/Ly86/Ldlr/Fgf2/Tiam1/S100a9/Ankrd17/Ppm1f/Pdgfd/Fn1/Ccl5/Ets1/Cxcl1/Nfkbiz/Tbk1/Cd180/Ccl3/Hspd1/S1pr1/Ddx60/Ccr2/Cdh13/Cxcr2/Ctss/Cxcl14",78
"GO:0007159","leukocyte cell-cell adhesion","79/2445","319/23210",2.64906737824819e-13,7.24640340104438e-11,4.45524968159924e-11,"Hlx/Gnrh1/Zbtb16/Anxa1/Ptpn2/Bmp4/Nr4a3/Arg2/Tnip1/Icam1/Smad7/Bcl10/Cxcl12/Efnb2/Prkcq/Gata3/Il15/Tigit/Rela/Sdc4/Hsp90aa1/Tnf/Nt5e/Lgals3/S100a8/Il20rb/Tnfsf9/Zc3h12a/Slc4a1/Cd80/Ptpn22/Cebpb/Nlrp3/Ceacam1/Il6/Pde5a/Malt1/Adam8/Lgals9/Hfe/Cd44/Spn/Fgl2/Card11/Il7r/Il2rg/Cblb/Itga5/Ada/Btla/S100a9/Adora2a/Thy1/Zc3h12d/Klf4/Ccl25/March7/Ccl5/Itgb7/Shb/Ephb6/Cx3cr1/Ets1/Nfkbiz/Itpkb/Lag3/Cd274/Myb/Hspd1/Ptprc/Pawr/Ccr2/Il4ra/Dpp4/Apoa4/Socs5/Irf1/Lrrc32/Selp",79
"GO:0002221","pattern recognition receptor signaling pathway","46/2445","137/23210",3.03638243821926e-13,7.84356194890449e-11,4.82239601378309e-11,"Tnip3/Tnfaip3/Mapkapk2/Nfkbia/F2rl1/Tlr2/Tnip1/Tril/Tlr4/Rsad2/Bcl10/Irgm2/Lrrfip2/Tnip2/Treml4/Clec4e/Myd88/Rela/Tnf/Cd300lf/Trim15/Nploc4/Appl2/Ltf/Ptpn22/Tlr5/Tlr6/Lgals9/Arf6/Wdfy1/Irf7/Cd14/Alpk1/Nr1d1/Ankrd17/Reg3g/Unc93b1/Hspd1/Ddx60/Ifih1/Tlr13/Rps6ka3/Tspan6/Irf1/Tmem173/Bpifb1",46
"GO:0040013","negative regulation of locomotion","81/2445","332/23210",3.12804065758903e-13,7.84356194890449e-11,4.82239601378309e-11,"Meox2/Thbs1/Gnrh1/Ptger4/Has1/Ptpn2/Nr2f2/Trib1/Egfl7/Serpine1/Nrg1/Acvrl1/Stat3/Angpt2/Tacstd2/Gtpbp4/Ppargc1a/Nrp1/Slit2/Cxcl12/Dll4/Pml/Nfe2l2/Sema6d/Gata3/Rap2a/Tie1/Miip/Hyal2/Wnt3a/Srf/Jag1/Trim15/Tbx5/Fuz/Timp1/Robo4/Sema6a/Arap3/Sema6b/Cx3cl1/Sfrp2/Zmynd8/Dach1/Wnt5a/Sema3g/Trim25/Ccl12/Robo2/Stc1/Strap/Il33/Arhgdib/Fas/Trp53inp1/Arrdc3/Ada/Fgf2/Patz1/Pip5kl1/St6gal1/Gcsam/Adora2a/Thy1/Klf4/Rgcc/Ccl25/Cx3cr1/Sema3c/Dpysl3/Adamts9/Crk/Mmrn2/Podn/Spred1/Mef2c/Mid2/Evl/Pik3r2/Arhgap4/Epha1",81
"GO:0042326","negative regulation of phosphorylation","100/2445","452/23210",3.85913483837146e-13,9.10536618592852e-11,5.59818127084339e-11,"Smad6/Atf3/Birc3/Dusp16/Cdkn1a/Gadd45a/Errfi1/Dusp8/Ptpn2/Nr2f2/Gadd45g/Trib1/Tnfaip3/Bmp4/Stat3/Socs3/F2rl1/Ptpn1/Tnip1/Gfra2/Ppargc1a/Tlr4/Smad7/Lrrk2/Slit2/Ppp2ca/Pid1/Prkrip1/Ezr/Efna1/Per1/Ggnbp2/Nupr1/Hmgcr/P2rx7/Angpt1/Irs2/Hyal2/Gadd45b/Ranbp9/Bdkrb1/Mapt/Arrb1/Taf7/Tfap4/Cdkn2c/Smcr8/Dtnbp1/Trib3/Zc3h12a/Sema6a/Ptpn22/Atxn7/Sfrp2/Uchl1/Ceacam1/Il6/Eif3a/Spry2/Snca/Sh2d1b1/Rgs2/Heg1/Strap/Ppp1r15b/Cep85/Cblb/Ctdspl/Ier3/Sh3bp5/Dusp19/Ppm1f/Gpd1l/Pip5kl1/Hexim1/Adora2a/Thy1/Cox11/Klf4/Hdac4/Foxa2/Pwp1/Shb/Lif/Prkdc/Rnf149/Hgf/Ppp1r15a/Spry1/Fgfr1op/Gbp4/Sirt1/Hspa4/Spred1/Ptprc/Ddit4/Pik3r2/Epha1/Socs5/Irf1",100
